species	gene_count_C-type	gene_count_I-type
Abscondita_terminalis	2	7
Achroia_grisella	5	4
Acromyrmex_echinatior	0	5
Acyrthosiphon_pisum	0	3
Adelges_cooleyi	0	4
Aedes_aegypti	6	2
Aedes_albopictus	8	3
Aethina_tumida	6	10
Agrilus_planipennis	3	2
Ampulex_compressa	0	1
Amyelois_transitella	3	4
Anabrus_simplex	3	8
Anastrepha_ludens	12	3
Anastrepha_obliqua	11	2
Anopheles_albimanus	3	3
Anopheles_aquasalis	3	2
Anopheles_arabiensis	7	2
Anopheles_bellator	2	2
Anopheles_coluzzii	6	2
Anopheles_coustani	3	2
Anopheles_cruzii	3	3
Anopheles_darlingi	4	2
Anopheles_funestus	5	2
Anopheles_gambiae	7	2
Anopheles_maculipalpis	7	3
Anopheles_merus	4	2
Anopheles_moucheti	5	2
Anopheles_nili	3	3
Anopheles_stephensi	5	3
Anopheles_ziemanni	3	2
Anoplophora_glabripennis	6	3
Anthonomus_grandis_grandis	6	2
Aphidius_gifuensis	0	2
Aphis_craccivora	0	3
Aphis_gossypii	0	4
Apis_cerana	0	1
Apis_dorsata	0	1
Apis_florea	0	1
Apis_laboriosa	0	1
Apis_mellifera	0	1
Apolygus_lucorum	2	1
Arctia_plantaginis	7	4
Aricia_agestis	4	5
Armigeres_subalbatus	9	2
Athalia_rosae	3	1
Atta_cephalotes	0	4
Atta_colombica	0	5
Bacillus_rossius_redtenbacheri	3	10
Bactrocera_dorsalis	15	3
Bactrocera_latifrons	15	3
Bactrocera_tryoni	16	3
Belonocnema_kinseyi	0	2
Bemisia_tabaci	2	4
Bicyclus_anynana	2	2
Blattella_germanica	5	5
Bombus_affinis	0	2
Bombus_terrestris	0	2
Bombyx_mandarina	1	4
Bombyx_mori	3	5
Bradysia_coprophila	2	3
Brassicogethes_aeneus	3	9
Brenthis_ino	3	5
Calliphora_vicina	24	4
Camponotus_floridanus	0	1
Cataglyphis_hispanica	0	3
Cephus_cinctus	1	1
Ceratina_calcarata	0	1
Ceratitis_capitata	13	3
Ceratosolen_solmsi_marchali	0	2
Chelonus_insularis	1	1
Chilo_suppressalis	7	6
Chrysoperla_carnea	11	1
Cimex_lectularius	2	4
Cloeon_dipterum	1	4
Clunio_marinus	5	2
Coccinella_septempunctata	7	6
Colias_croceus	3	5
Colletes_gigas	0	1
Condylostylus_longicornis	5	6
Contarinia_nasturtii	3	1
Copidosoma_floridanum	0	2
Coptotermes_formosanus	3	4
Cotesia_glomerata	0	4
Cryptotermes_secundus	9	8
Culex_pipiens_pallens	3	2
Culex_quinquefasciatus	3	3
Culicoides_brevitarsis	1	3
Cydia_pomonella	5	4
Cydia_splendana	4	5
Cylas_formicarius	4	3
Cyphomyrmex_costatus	0	2
Daktulosphaira_vitifoliae	0	4
Dalotia_coriaria	4	2
Danaus_plexippus	2	8
Dendroctonus_ponderosae	2	1
Diabrotica_virgifera_virgifera	6	3
Diachasma_alloeum	0	2
Diachasmimorpha_longicaudata	0	2
Dinoponera_quadriceps	0	1
Diorhabda_carinulata	0	2
Diorhabda_sublineata	4	4
Diprion_similis	2	1
Drosophila_albomicans	12	6
Drosophila_ananassae	14	5
Drosophila_arizonae	12	1
Drosophila_biarmipes	13	6
Drosophila_bipectinata	14	8
Drosophila_elegans	10	6
Drosophila_erecta	12	7
Drosophila_eugracilis	14	7
Drosophila_ficusphila	12	4
Drosophila_grimshawi	11	5
Drosophila_guanche	13	7
Drosophila_hydei	18	6
Drosophila_kikkawai	23	5
Drosophila_mauritiana	12	7
Drosophila_melanogaster	11	6
Drosophila_miranda	19	10
Drosophila_mojavensis	13	5
Drosophila_montana	12	7
Drosophila_nasuta	11	7
Drosophila_navojoa	12	5
Drosophila_novamexicana	13	8
Drosophila_obscura	12	7
Drosophila_persimilis	16	8
Drosophila_pseudoobscura	14	7
Drosophila_rhopaloa	15	5
Drosophila_sechellia	10	8
Drosophila_serrata	16	5
Drosophila_simulans	13	8
Drosophila_subobscura	13	7
Drosophila_subpulchrella	12	6
Drosophila_sulfurigaster_albostrigata	13	6
Drosophila_suzukii	12	5
Drosophila_takahashii	18	6
Drosophila_teissieri	13	7
Drosophila_virilis	16	6
Drosophila_yakuba	12	6
Dufourea_novaeangliae	0	1
Eciton_burchellii	0	1
Episyrphus_balteatus	5	9
Eriocheir_sinensis	0	4
Eufriesea_mexicana	0	1
Eupeodes_corollae	6	6
Folsomia_candida	3	4
Fopius_arisanus	0	1
Formica_exsecta	0	4
Frankliniella_occidentalis	7	6
Frieseomelitta_varia	0	4
Galleria_mellonella	5	6
Glossina_fuscipes	1	3
Gonioctena_quinquepunctata	2	2
Gryllus_longicercus	4	4
Halyomorpha_halys	0	3
Harmonia_axyridis	5	7
Harpegnathos_saltator	0	1
Helicoverpa_armigera	4	3
Helicoverpa_zea	4	4
Hermetia_illucens	54	1
Hetaerina_americana	2	2
Homalodisca_vitripennis	2	10
Hylaeus_anthracinus	0	1
Hylaeus_volcanicus	0	1
Hyposmocoma_kahamanoa	3	7
Ignelater_luminosus	0	6
Ischnura_elegans	2	3
Lamprigera_yunnana	1	8
Laodelphax_striatellus	1	11
Leguminivora_glycinivorella	4	5
Leptidea_sinapis	2	2
Leptinotarsa_decemlineata	2	2
Leptopilina_boulardi	0	1
Leptopilina_heterotoma	0	2
Linepithema_humile	0	1
Lucilia_cuprina	28	2
Lucilia_sericata	19	3
Lutzomyia_longipalpis	6	1
Malaya_genurostris	7	2
Manduca_sexta	4	5
Maniola_hyperantus	3	4
Maniola_jurtina	3	5
Megachile_rotundata	0	1
Megalopta_genalis	0	2
Melanaphis_sacchari	0	3
Melipona_quadrifasciata	0	1
Melitaea_cinxia	2	3
Microplitis_demolitor	0	1
Microplitis_mediator	0	1
Monomorium_pharaonis	0	4
Musca_domestica	44	4
Musca_vetustissima	21	4
Myzus_persicae	0	4
Nasonia_vitripennis	0	1
Neocloeon_triangulifer	1	6
Neodiprion_fabricii	2	1
Neodiprion_lecontei	2	2
Neodiprion_pinetum	2	1
Neodiprion_virginianus	2	1
Nicrophorus_vespilloides	8	5
Nilaparvata_lugens	1	19
Nomia_melanderi	0	1
Nylanderia_fulva	0	2
Nymphalis_io	2	5
Ochlerotatus_camptorhynchus	6	2
Odontomachus_brunneus	0	1
Onthophagus_taurus	6	5
Ooceraea_biroi	0	1
Orussus_abietinus	0	1
Osmia_bicornis_bicornis	0	1
Osmia_lignaria	0	2
Ostrinia_furnacalis	7	5
Ostrinia_nubilalis	6	7
Papilio_machaon	4	5
Papilio_polytes	5	5
Papilio_xuthus	4	3
Pararge_aegeria	2	4
Parnassius_apollo	9	7
Pectinophora_gossypiella	6	6
Pediculus_humanus_corporis	1	3
Periplaneta_americana	8	8
Phlebotomus_argentipes	4	1
Phlebotomus_papatasi	5	10
Photinus_pyralis	1	1
Phymastichus_coffea	0	5
Pieris_brassicae	3	4
Pieris_napi	3	4
Pieris_rapae	3	5
Planococcus_citri	0	3
Plodia_interpunctella	4	2
Plutella_xylostella	2	1
Pogonomyrmex_barbatus	0	1
Polistes_canadensis	0	1
Polistes_dominula	0	1
Polistes_fuscatus	0	3
Polypedilum_vanderplanki	9	4
Procambarus_clarkii	8	2
Pseudomyrmex_gracilis	0	2
Rhodnius_prolixus	3	3
Rhopalosiphum_maidis	0	3
Rhopalosiphum_padi	0	3
Rhynchophorus_ferrugineus	5	2
Sabethes_cyaneus	11	8
Scaptodrosophila_lebanonensis	21	2
Scylla_paramamosain	2	4
Sipha_flava	0	1
Sitodiplosis_mosellana	1	4
Sitophilus_oryzae	1	4
Solenopsis_invicta	0	5
Spodoptera_frugiperda	4	4
Spodoptera_litura	6	4
Stomoxys_calcitrans	30	6
Temnothorax_curvispinosus	0	3
Temnothorax_longispinosus	0	10
Tenebrio_molitor	2	6
Thrips_palmi	6	2
Topomyia_yanbarensis	7	2
Toxorhynchites_rutilus_septentrionalis	4	4
Trachymyrmex_septentrionalis	0	4
Tribolium_castaneum	4	5
Tribolium_madens	1	2
Trichogramma_pretiosum	0	4
Trichoplusia_ni	5	2
Uranotaenia_lowii	7	3
Vanessa_atalanta	2	5
Vanessa_cardui	3	5
Vanessa_tameamea	2	1
Venturia_canescens	0	1
Vespa_crabro	0	1
Vespa_mandarinia	0	1
Vespa_velutina	0	1
Vespula_pensylvanica	0	2
Vespula_vulgaris	0	4
Vollenhovia_emeryi	0	4
Wasmannia_auropunctata	0	2
Wyeomyia_smithii	8	4
Zerene_cesonia	4	3
Zeugodacus_cucurbitae	17	7
Zootermopsis_nevadensis	4	18
Zophobas_morio	4	0